environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,261.6050000069663
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.9580000024289
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,312.4619999434799
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,545.0910000363365
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,408.45300001092255
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,369.58199995569885
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,385.73099998757243
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,290.5950000276789
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.1350000221282
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,306.9639999885112
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,285.1740000769496
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,296.76900000777096
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,280.80700000282377
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,417.42499999236315
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,296.5150000527501
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.3249999815598
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,281.0639999806881
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,308.93099994864315
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,436.00800004787743
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,276.0780000826344
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,305.726999999024
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.0880000917241
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.9720000186935
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,273.04200001526624
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,306.72600003890693
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.80199997872114
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,288.39199990034103
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,291.39699996449053
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,284.4010000117123
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,281.1900000087917
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,280.8139999397099
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,305.58100005146116
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,305.6349999969825
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,293.3119999943301
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,306.53900001198053
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,424.3809999898076
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,296.9019999727607
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.31700001563877
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,286.2390000373125
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.9860000088811
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,403.7029999308288
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,289.6739999996498
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.45100006181747
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,281.0739999404177
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,279.20799993444234
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,277.8999999864027
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,307.77700000908226
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.86199997458607
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,290.5690000625327
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,318.40200000442564
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,290.74900003615767
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,288.7189999455586
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,293.2139999466017
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,280.3559999447316
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,291.8610000051558
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,301.071000052616
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.92399997636676
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,305.1039999118075
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,297.88500000722706
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,314.96500002685934
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.76700006611645
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,301.7130000516772
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,286.12500010058284
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,299.57600007764995
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,303.0700000235811
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,306.64899991825223
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.8390000015497
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,277.5139999575913
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,482.6990000437945
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,285.6840000022203
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.44000010658056
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.37000006996095
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,317.6880000391975
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,308.53299994487315
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,307.8299999469891
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.13099990133196
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.61099992133677
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,309.87800005823374
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,326.0259999660775
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.835999914445
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,293.6489999992773
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,294.4499999284744
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,274.872999987565
local,quic,rate-limit,5,10,5.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,310.51999994087964
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,271.61499997600913
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,791.7949999682605
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,289.0190000180155
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,351.7269999720156
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,275.4549999954179
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,298.49499999545515
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,303.7150000454858
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,308.3040000637993
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,301.54499993659556
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,295.0749999145046
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,271.26700000371784
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,277.58300001733005
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,283.1460000015795
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,286.4500000141561
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,282.09599992260337
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,319.30800003465265
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,299.6069999644533
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,290.4169999528676
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.479999945499
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,287.1670000022277
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.77599997539073
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.45100007392466
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,302.70000000018626
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,297.1760000800714
local,quic,rate-limit,5,10,10.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,286.5339999552816
