protocol,latency,varying,rate-limit,packet-loss,object-count,object-size,page-load-time
quic,50,latency,10.0,0.0,0,100,207.072999997763
quic,50,latency,10.0,0.0,0,100,205.870000005234
quic,50,latency,10.0,0.0,0,100,221.575999996276
quic,50,latency,10.0,0.0,0,100,207.920999993803
quic,50,latency,10.0,0.0,0,100,202.728000003845
quic,50,latency,10.0,0.0,0,100,209.317000000738
quic,50,latency,10.0,0.0,0,100,205.438000004506
quic,50,latency,10.0,0.0,0,100,200.924000004306
quic,50,latency,10.0,0.0,0,100,201.84199999494
quic,50,latency,10.0,0.0,0,100,206.995000000461
quic,50,latency,10.0,0.0,0,100,208.018000004813
quic,50,latency,10.0,0.0,0,100,203.630000003614
quic,50,latency,10.0,0.0,0,100,204.836999997497
quic,50,latency,10.0,0.0,0,100,200.74499999464
quic,50,latency,10.0,0.0,0,100,198.266000006697
quic,50,latency,10.0,0.0,0,100,208.402000003844
quic,50,latency,10.0,0.0,0,100,208.425999997417
quic,50,latency,10.0,0.0,0,100,206.888000000617
quic,50,latency,10.0,0.0,0,100,203.966000000946
quic,50,latency,10.0,0.0,0,100,207.385000001523
quic,50,latency,10.0,0.0,0,100,202.623999997741
quic,50,latency,10.0,0.0,0,100,204.479000007268
quic,50,latency,10.0,0.0,0,100,199.998999989475
quic,50,latency,10.0,0.0,0,100,201.583999994909
quic,50,latency,10.0,0.0,0,100,207.850999999209
quic,50,latency,10.0,0.0,0,100,200.503000000026
quic,50,latency,10.0,0.0,0,100,207.036000007065
quic,50,latency,10.0,0.0,0,100,207.240000003367
quic,50,latency,10.0,0.0,0,100,205.413000003318
quic,50,latency,10.0,0.0,0,100,206.92899999267
quic,50,latency,10.0,0.0,0,100,205.282999988412
quic,50,latency,10.0,0.0,0,100,205.130999995163
quic,50,latency,10.0,0.0,0,100,200.471000003745
tcp,0,latency,10.0,0.0,0,100,298.853999993298
tcp,0,latency,10.0,0.0,0,100,296.946000002208
tcp,0,latency,10.0,0.0,0,100,273.128000000725
tcp,0,latency,10.0,0.0,0,100,285.212999995565
tcp,0,latency,10.0,0.0,0,100,272.510000009788
tcp,0,latency,10.0,0.0,0,100,275.664000000688
tcp,0,latency,10.0,0.0,0,100,286.603000000468
tcp,0,latency,10.0,0.0,0,100,286.25699999975
tcp,0,latency,10.0,0.0,0,100,292.455000002519
tcp,0,latency,10.0,0.0,0,100,278.076000002329
tcp,0,latency,10.0,0.0,0,100,280.95200000098
tcp,0,latency,10.0,0.0,0,100,279.452000002493
tcp,0,latency,10.0,0.0,0,100,297.474999999395
tcp,0,latency,10.0,0.0,0,100,287.649999998393
tcp,0,latency,10.0,0.0,0,100,279.213999994681
tcp,0,latency,10.0,0.0,0,100,313.62299999455
tcp,0,latency,10.0,0.0,0,100,284.064999999828
tcp,0,latency,10.0,0.0,0,100,280.910000001313
tcp,0,latency,10.0,0.0,0,100,273.612000004505
tcp,0,latency,10.0,0.0,0,100,299.799000000348
tcp,0,latency,10.0,0.0,0,100,293.440000008559
tcp,0,latency,10.0,0.0,0,100,285.13999999268
tcp,0,latency,10.0,0.0,0,100,280.299999998533
tcp,0,latency,10.0,0.0,0,100,293.562000006204
tcp,0,latency,10.0,0.0,0,100,289.448999988963
tcp,0,latency,10.0,0.0,0,100,283.302000010735
tcp,0,latency,10.0,0.0,0,100,299.1949999996
tcp,0,latency,10.0,0.0,0,100,298.726000008173
tcp,0,latency,10.0,0.0,0,100,283.670999997412
tcp,0,latency,10.0,0.0,0,100,279.953000004753
tcp,0,latency,10.0,0.0,0,100,290.101000005961
tcp,0,latency,10.0,0.0,0,100,298.047999996925
tcp,0,latency,10.0,0.0,0,100,267.691000000923
tcp,0,latency,10.0,0.0,0,100,271.361999999499
tcp,0,latency,10.0,0.0,0,100,282.489000004716
tcp,0,latency,10.0,0.0,0,100,281.740999998874
tcp,0,latency,10.0,0.0,0,100,270.487000001594
tcp,0,latency,10.0,0.0,0,100,287.590000007185
tcp,0,latency,10.0,0.0,0,100,279.387999995379
tcp,0,latency,10.0,0.0,0,100,283.561000003829
tcp,0,latency,10.0,0.0,0,100,287.956999993185
tcp,0,latency,10.0,0.0,0,100,273.407000000589
tcp,0,latency,10.0,0.0,0,100,295.459000000847
tcp,0,latency,10.0,0.0,0,100,277.361000000383
tcp,0,latency,10.0,0.0,0,100,281.46499999275
tcp,0,latency,10.0,0.0,0,100,281.624000010197
tcp,0,latency,10.0,0.0,0,100,296.180999997887
tcp,0,latency,10.0,0.0,0,100,277.978999991319
tcp,0,latency,10.0,0.0,0,100,294.523999997182
tcp,0,latency,10.0,0.0,0,100,286.039000013261
tcp,0,latency,10.0,0.0,0,100,270.684999995865
tcp,0,latency,10.0,0.0,0,100,292.610999997123
tcp,0,latency,10.0,0.0,0,100,295.824000000721
